name,alternativename,primaryvalue,subcategory,category,type,highlight,metric_001,searchterm,notes,notesLong,sourceNames,link,firstsource,secondsource,thirdsource,ID
ashwagandha,withania somnifera,2,rheumatoid arthritis ,musculoskeletal,plant / herb,,"407,000",ashwagandha rheumatoid arthritis,No solid evidence.,,Indian Journal of Medical Research,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/011/CN-01197011/frame.html,,,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/011/CN-01197011/frame.html,11
astaxanthin,,1,oxidative stress,general health,compound,,"261,000",astaxanthin oxidative stress,No human trials yet. ,,"Cochrane, PLoS One",http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/581/CN-00909581/frame.html,,,"http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/581/CN-00909581/frame.html
https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0146438",12
astragalus,,2,"dna damage, immune system",general health,plant / herb,OTW,"740,000",astragalus immune system,Limited studies suggest a stengthening of  the immune system. More evidence needed.,,"Block, Mead (2003)",http://www.ncbi.nlm.nih.gov/pubmed/15035888,,,http://www.ncbi.nlm.nih.gov/pubmed/15035888,13
astragalus,,3,chronic kidney disease,general health,plant / herb,,"354,000",astragalus kidney disease,Low quality evidence for patients with chronic kidney disease when combined with conventional treatments. ,,Cochrane,http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD008369.pub2/abstract,http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD008369.pub2/abstract,,,14
bee pollen,,1,cancer ,cancer,other,,"3,730,000",bee pollen cancer,No evidence,,European Journal of Medicinal Chemistry,http://www.ncbi.nlm.nih.gov/pubmed/20598400,,,http://www.ncbi.nlm.nih.gov/pubmed/20598400,15
benfotiamine ,fat-soluble thiamin,3,"anti-aging, diabetes ","diabetes, general health",compound,,"311,000",benfotiamine diabetes,A study of high-dose benfotiamine (300 mg/day) supplementation over 24 months showed no significant effects.,,Cochrane,http://www.cochrane.org/CD009403/RENAL_vitamin-b-and-its-derivatives-for-diabetic-kidney-disease,http://www.cochrane.org/CD009403/RENAL_vitamin-b-and-its-derivatives-for-diabetic-kidney-disease,http://www.researchgate.net/profile/Boris_Mankovsky/publication/274180185_Benfotiamine_Commentary_and_update_on_recent_studies/links/55256a0b0cf24b822b40313b.pdf,,16
beta-carotene,,1,cancer,cancer,vitamin,,"5,410,000",vitamin A beta-carotene cancer,There is no evidence that beta-carotene prevents cancer.,,PubMed,http://www.ncbi.nlm.nih.gov/pubmed/18689373,,,http://www.ncbi.nlm.nih.gov/pubmed/18689373,17
beta glucans,,1,cancer,cancer,compound,,"280,000",beta glucans cancer,"Compounds found in brewers' yeast and mushrooms. Most studies so far have been done in animals or test tubes, rather than on human subjects. Trials on human subjects are needed. ",,Evidence-Based Complementary and Alternative Medicine,http://www.hindawi.com/journals/ecam/2014/252171/,,,http://www.hindawi.com/journals/ecam/2014/252171/,18
beta glucans,,2,"colds, immune system","infections, respiratory",compound,OTW,"558,000",beta glucans respiratory infection,Reduced number of colds by 25% and severity of symptoms by 15%. Might increase the body's ability to fend off infections.,,Molecular Nutrition and Food Research,http://onlinelibrary.wiley.com/doi/10.1002/mnfr.201300338/full,,http://onlinelibrary.wiley.com/doi/10.1002/mnfr.201300338/full,,19
bitter melon,,1,diabetes,diabetes,plant / herb,,"1,150,000",bitter melon diabetes,Not enough evidence to support using bitter melon in diabetes treament.,,Cochrane,http://www.cochrane.org/CD007845/ENDOC_momordica-charantia-for-type-2-diabetes-mellitus,http://www.cochrane.org/CD007845/ENDOC_momordica-charantia-for-type-2-diabetes-mellitus,,,20
black cohosh,,2,menopause,women,plant / herb,,"530,000",black cohosh menopause,Insufficient evidence to claim that black cohosh improves menopause symptoms. ,,Cochrane,http://www.cochrane.org/CD007244/MENSTR_black-cohosh-cimicifuga-spp.-for-menopausal-symptoms,http://www.cochrane.org/CD007244/MENSTR_black-cohosh-cimicifuga-spp.-for-menopausal-symptoms,,,21
black tea,,1,cancer prevention,cancer,plant / herb,,"151,000,000",black tea cancer,Reviews have found no association between black tea and ovarian or breast cancer risk.,,Nutrition and Cancer,http://www.tandfonline.com/doi/abs/10.1080/01635581.2014.936947#.Va-yTBNVhBc,,http://www.tandfonline.com/doi/abs/10.1080/01635581.2014.936947#.Va-yTBNVhBc,,22
borage seed oil,,4,rheumatoid arthritis,musculoskeletal,plant / herb,,"93,300",rheumatoid arthritis,"Improves pain and function, and probably has no adverse effects. ",,Cochrane,http://www.cochrane.org/CD002948/MUSKEL_herbal-therapy-for-rheumatoid-arthritis,http://www.cochrane.org/CD002948/MUSKEL_herbal-therapy-for-rheumatoid-arthritis,,,23
borage seed oil,,1,eczema,eye & skin,plant / herb,,"1,420,000",evening primrose oil eczema,A review of 27 studies found no evidence of efficacy.,,Cochrane,https://www.cochrane.org/CD004416/SKIN_oral-evening-primrose-oil-and-borage-oil-eczema,,,,
bromelain,,3,arthritis,musculoskeletal,enzyme,,"571,000",bromelain arthritis,Bromelain reduces arthritis symptoms. More research into dosage and side effects required. ,,"Annals of Internal Medicine
Common Knowledge",http://commons.pacificu.edu/pa/475/,,http://commons.pacificu.edu/pa/475/,http://www.ncbi.nlm.nih.gov/pubmed/15841258,24
butterbur,petasites hybridus,2,migraines,pain,plant / herb,,"59,700",butterbur migraines,Butterbur extract may lower the frequency and severity of migraines.,,Neurology,http://www.neurology.org/content/78/17/1346.short,,http://www.neurology.org/content/78/17/1346.short,,25
caffeine,,5,memory,cognition,compound,,"34,200,000",caffeine memory,Enhances consolidation of long term memories. Improves memory in young adults during their non-optimal time of day (mornings). ,,"Borota et al 2014, Frontiers in Psychology",http://www.ncbi.nlm.nih.gov/pubmed/24413697,,,"http://www.ncbi.nlm.nih.gov/pubmed/24413697
https://www.frontiersin.org/articles/10.3389/fpsyg.2016.01764/full?utm_medium=google",26
caffeine,,2,skin cancer,cancer,compound,OTW,"19,300,000",caffeine skin cancer,Population studies shows women who consume more than three cups of coffee a day MAY have a lower cancer risk than people who drink less than one cup per month. ,,Song et al. 2012,http://cancerres.aacrjournals.org/content/72/13/3282,,,http://cancerres.aacrjournals.org/content/72/13/3282,27
caffeine,,2,"alzheimer's disease, dementia",mental health,plant / herb,,"4,110,000",caffeine dementia,Caffiene appears to slow cognitive decline and prevent Alzheimer's. But the results are not definitive. ,,Santos et al 2010,http://www.ncbi.nlm.nih.gov/pubmed/20182026,,http://www.ncbi.nlm.nih.gov/pubmed/20182026,,28
calcium,,4,blood pressure,cardio,mineral,,"101,000,000",calcium blood pressure,"High quality evidence has shown that extra calcium can slightly reduce blood pressure, especially in people younger than 35. ",,Cochrane,http://www.cochrane.org/CD010037/HTN_extra-calcium-to-prevent-high-blood-pressure,http://www.cochrane.org/CD010037/HTN_extra-calcium-to-prevent-high-blood-pressure,,,29
calcium,,4,colorectal cancer,cancer,mineral,,"10,700,000",calcium colorectal cancer,"No evidence that calcium supplementation stops colorectal cancer itself, but it does inhibit potentially pre-cancerous colorectal polyps (adenomatous polyps) ",,Cochrane,http://www.cochrane.org/CD003548/COLOCA_daily-intake-of-1-gr-dietary-calcium-may-have-moderate-protective-effect-on-development-of-colorectal-adenomatous-polyps,http://www.cochrane.org/CD003548/COLOCA_daily-intake-of-1-gr-dietary-calcium-may-have-moderate-protective-effect-on-development-of-colorectal-adenomatous-polyps,,,30
calcium,,3,osteoporosis in postmenopausal women,"musculoskeletal, women",mineral,,"3,710,000",calcium postmenopausal osteoporosis,"Calcium supps might help to prevent fractures, although the results have been contradictory.",,PubMed,http://www.ncbi.nlm.nih.gov/pubmed/21289325,,http://www.ncbi.nlm.nih.gov/pubmed/21289325,,31
calcium + vit. D,,5,bone health,musculoskeletal,mineral,,"43,900,000",calcium vitamin d bone health,"A review of 8 studies including 30,970 participants found that calcium plus vitamin D supplementation reduced total fracture risk by 15% and hip fracture risk by 30%. ",,Osteoporosis International,https://link.springer.com/article/10.1007/s00198-015-3386-5,,https://link.springer.com/article/10.1007/s00198-015-3386-5,,32
calcium + vit. D,,2,"breast cancer in premenopausal women, cancer","cancer, women",mineral,,"52,100,000",calcium vitamin D cancer,There is no firm evidence that calcium and vitamin D supplementation decreases cancer risk. ,,Cochrane,http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD007469.pub2/abstract,http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD007469.pub2/abstract,http://www.cancer.gov/about-cancer/causes-prevention/risk/diet/vitamin-d-fact-sheet#q3,,33
cannabis,,4,nausea  ,cancer,plant / herb,,"703,000",cannabis chemotherapy nausea,Promising evidence showing a reduction in nausea and vomiting caused by chemotherapy. The FDA has approved 2 synthetic cannabis drugs for treating chemo-related nausea. ,,"Cochrane, NAP",http://www.cochrane.org/CD009464/GYNAECA_cannabis-based-medicine-nausea-and-vomiting-people-treated-chemotherapy-cancer,http://www.cochrane.org/CD009464/GYNAECA_cannabis-based-medicine-nausea-and-vomiting-people-treated-chemotherapy-cancer,https://www.nap.edu/read/24625/chapter/4#53,,34
cannabis,,3,glaucoma,eye & skin,plant / herb,,"1,490,000",cannabis glaucoma,"Definitely lowers eye pressure, but only temporarily (3-4hrs). Since Glaucoma is a long-term disease, a LOT of cannabis would be required to maintain low pressure levels. Also, cannabis might cause additional damage to the eye by restricting blood flow to the optic nerve. ",,American Glaucoma Society,https://community.americanglaucomasociety.net/about/statements,,,https://community.americanglaucomasociety.net/about/statements,35
cannabis,,5,Multiple Sclerosis (MS),neurological,plant / herb,,"22,700,000",cannabis Multiple Sclerosis MS,"2 studies involving a total of 790 subjects showed positive results. Improved muscle spasms, pain, sleep quality, and mobility. Cannabis-based drug Sativex is approved for use in MS patients in 30 countries.",,Journal of Ethnopharmacology,http://www.sciencedirect.com/science/article/pii/S0378874106000821,,,http://www.sciencedirect.com/science/article/pii/S0378874106000821,36
cannabis,,4,chronic pain,pain,plant / herb,,"79,400,000",cannabis pain,Several good quality trials have shown cannabinoids to be modestly effective in treating chronic pain. The harms and side-effects may outweigh the benefits though. Larger and longer trials needed. ,,"British Journal of Clinical Pharmacology, Cochrane",https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD012182.pub2/full?highlightAbstract=cannabis&highlightAbstract=cannabi,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD012182.pub2/full?highlightAbstract=cannabis&highlightAbstract=cannabi,http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2125.2011.03970.x/full,,37
capsaicin,,1,non-allergic rhinitis,general health,plant / herb,,"89,900",capsaicin non allergic rhinitis,"Capsaicin comes from chili peppers. Evidence has found that inhaling 4 micrograms at least 5 times a day can reduce inflammation, but the quality of the evidence is low. Who wants to inhale chilli?",,Cochrane,http://www.cochrane.org/CD010591/ENT_capsaicin-non-allergic-rhinitis,http://www.cochrane.org/CD010591/ENT_capsaicin-non-allergic-rhinitis,,,38
carnosine,,1,anti-aging,general health,compound,,"292,000",carnosine anti aging,"Promising results in mice and in cell studies, but no human trials yet. ",,Molecules in Focus,http://www.sciencedirect.com/science/article/pii/S1357272598000600,,,http://www.sciencedirect.com/science/article/pii/S1357272598000600,39
cat's claw,,1,cancer,cancer,plant / herb,,"526,000",cat's claw cancer,No human trials. ,,Anticancer Research,http://europepmc.org/abstract/med/11724307,,,http://europepmc.org/abstract/med/11724307,40
chamomile,,1,bowel disorders,digestion,plant / herb,,"765,000",chamomile bowel disorder,No high-quality human trials. ,,Der Pharma Chemica,https://www.derpharmachemica.com/abstract/chamomile-efficacy-in-patients-of-the-irritable-bowel-syndrome-6898.html,,,https://www.derpharmachemica.com/abstract/chamomile-efficacy-in-patients-of-the-irritable-bowel-syndrome-6898.html,41
"chocolate, dark",,3,blood pressure,cardio,plant / herb,OTW,"26,800,000",dark chocolate blood pressure,"Chemicals known as flavanols, found in cocoa products, are thought to widen blood vessels and cause a minor drop in blood pressure. Further trials are needed to ascertain long-term efficacy. Does not apply to mllk chocolate.",,Cochrane,http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD008893.pub2/abstract,http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD008893.pub2/abstract,,,42
chlorella,(algae),4,"blood pressure, cholesterol, cardiovascular disease",cardio,alga,,"948,000",chlorella blood pressure,"Significantly decreases blood pressure, blood glucose, and some cholesterols.","Meta-analysis on 19 RCTs with 797 subjects indicated that Chlorella administration significantly decreased the levels of total cholesterol, low-density lipoprotein cholesterol, systolic blood pressure, diastolic blood pressure, and fasting blood glucose whereas changes in triglycerides, high-density lipoprotein cholesterol, and body mass index were not statistically significant.",Clinical Nutrition,https://www.clinicalnutritionjournal.com/article/S0261-5614(17)31351-1/fulltext,,https://www.clinicalnutritionjournal.com/article/S0261-5614(17)31351-1/fulltext,,43
chromium,,2,diabetes,diabetes,mineral,OTW,"7,520,000",chromium diabetes,"Might lower blood glucose levels. It might also help with fat loss, which could benefit those with diabetes. ",,Cochrane,http://www.cochrane.org/CD010063/ENDOC_chromium_picolinate_supplementation_for_overweight_or_obese_people,http://www.cochrane.org/CD010063/ENDOC_chromium_picolinate_supplementation_for_overweight_or_obese_people,,,44
cinnamon,,1,diabetes,diabetes,plant / herb,,"24,200,000",cinnamon diabetes,No more effective than placebo in controlling glucose levels. ,,Cochrane,http://www.cochrane.org/CD007170/ENDOC_cinnamon-for-diabetes-mellitus,http://www.cochrane.org/CD007170/ENDOC_cinnamon-for-diabetes-mellitus,,,45
coconut oil,,3,obesity,"cardio, general health",plant / herb,,"10,100,000",coconut oil obesity,"30ml of coconut oil per day might help to reduce waist size, but possibly because the fat in coconut oil isn't as easily stored.",,Cochrane,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/529/CN-00721529/frame.html,,,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/529/CN-00721529/frame.html,46
coffee,,6,heart disease,cardio,plant / herb,,"134,000,000",coffee heart disease,"A metastudy found that the more coffee a person drinks, the lower their risk of cardiovascular disease. The optimum amount of coffee for this benefit was 3-5 per day. ",,Epidemiology and Prevention,http://circ.ahajournals.org/content/129/6/643.long,,http://circ.ahajournals.org/content/129/6/643.long,,47
coffee,,3,mortality,general health,plant / herb,,"54,600,000",coffee mortality,"A large statistical study of over 650,000 people found that coffee drinking reduced all cause mortality, whether it was instant, ground, or decaffeinated. ",,JAMA International Medicine,https://jamanetwork.com/journals/jamainternalmedicine/article-abstract/2686145,,,https://jamanetwork.com/journals/jamainternalmedicine/article-abstract/2686145,48
colostrinin,,1,alzheimer's disease,mental health,compound,OTW,"8,280",colostrinin alzheimer's disease,A few small human studies suggest possible effects on Alzheimers.,,The Journal of Nutritional Health and Aging,http://www.ncbi.nlm.nih.gov/pubmed?term=new%20insights%20colostrinin,,,http://www.ncbi.nlm.nih.gov/pubmed?term=new%20insights%20colostrinin,49
CoQ10,ubiquinol,3,diabetes,diabetes,enzyme,,"1,190,000",CoQ10 diabetes,"CoQ10 improves insulin secretion in those with type 2 diabetes. However, human trials have been tiny.  ",,Biofactors,http://onlinelibrary.wiley.com/doi/10.1002/biof.1038/abstract?userIsAuthenticated=false&deniedAccessCustomisedMessage=,,,http://onlinelibrary.wiley.com/doi/10.1002/biof.1038/abstract?userIsAuthenticated=false&deniedAccessCustomisedMessage=,50
CoQ10,ubiquinol,1,migraine,pain,enzyme,,"340,000",CoQ10 migraine,Some tentative evidence on migraine sensitivity. But much more research needed.,,Sage,http://cep.sagepub.com/content/31/8/897.short,,,http://cep.sagepub.com/content/31/8/897.short,51
CoQ10,,1,blood pressure,cardio,enzyme,,"1,390,000",coq10 blood pressure,Pooled data from two trials showed that CoQ10 did not affect blood pressure compared to placebo.,,Cochrane,http://www.cochrane.org/CD007435/HTN_coenzyme-q10-high-blood-pressure,http://www.cochrane.org/CD007435/HTN_coenzyme-q10-high-blood-pressure,,,52
cranberry,"cranberry juice, cranberries",1,urinary tract infections,"urinary, women",plant / herb,,"880,000",cranberry urinary tract infections,No statistically significant evidence that cranberry juice or supplements prevent UTIs. ,,Cochrane,http://www.cochrane.org/CD001321/RENAL_cranberries-for-preventing-urinary-tract-infections,http://www.cochrane.org/CD001321/RENAL_cranberries-for-preventing-urinary-tract-infections,,,53
creatine & CoQ10 ,,3,cognition,mental health,compound,,"326,000",creatine CoQ10 cognition,"Creatine doesn't have a significant effect in those with normal brain function, but it can benefit those with impaired brain function when combined with CoQ10. ",,European Neurology,http://www.karger.com/Article/Abstract/377676,,,http://www.karger.com/Article/Abstract/377676,54
dandelion,dandelion soup,3,tonsillitis,infections,plant / herb,,"338,000",dandelion tonsillitis,"Dandelion might have antimicrobial properties, which could help with throat infections. ",,Evidence-Based Health Care,http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD004877.pub3/abstract,,,http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD004877.pub3/abstract,55
devil's claw,,4,arthritis,musculoskeletal,plant / herb,,"226,000",devil's claw arthritis,Devil's Claw extract can reduce lower back pain by blocking the pathways that cause joint inflammation. ,,Cochrane,http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD004504.pub4/abstract,http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD004504.pub4/abstract,,,56
DHEA,,3,memory in young men,"cognition, men",compound,OTW,"2,000,000",DHEA memory,DHEA might improve memory in young men. ,,Cochrane,http://www.cochrane.org/CD006221/DEMENTIA_no-current-evidence-for-an-improvement-in-memory-or-other-aspects-of-cognitive-function-of-non-demented-older-people-following-dhea-supplements,http://www.cochrane.org/CD006221/DEMENTIA_no-current-evidence-for-an-improvement-in-memory-or-other-aspects-of-cognitive-function-of-non-demented-older-people-following-dhea-supplements,,,57
DHEA,,1,ageing,general health,compound,,"260,000",DHEA ageing,"DHEA has no beneficial impact on body composition, performance etc. ",,PubMed,http://www.ncbi.nlm.nih.gov/pubmed/17050889,,,http://www.ncbi.nlm.nih.gov/pubmed/17050889,58
dong quai,,0,menopause in breast cancer patients,"cancer, reproductive",plant / herb,,"343,000",dong quai menopause,HARMFUL. Long term safety data is non-existent. May increase risk of cancer.,,Lau et al. 2005,http://www.ncbi.nlm.nih.gov/pubmed/20833608,,http://www.ncbi.nlm.nih.gov/pubmed/20833608,http://www.ncbi.nlm.nih.gov/pubmed/16278617?dopt=Abstract,59
echinacea,,3,colds,infections,plant / herb,,"743,000",echinacea colds,"Echinacea might have a slight impact on preventing and treating colds, but the results are statistically insignificant. ",,Cochrane,http://www.cochrane.org/CD000530/ARI_echinacea-for-preventing-and-treating-the-common-cold,http://www.cochrane.org/CD000530/ARI_echinacea-for-preventing-and-treating-the-common-cold,,,60
ecklonia cava seaweed ,,3,"cholesterol, weight loss","weight control, cardio",alga,,"62,600",ecklonia cava cholesterol,There's evidence that seaweed supplements can combat several mechanisms behind the onset of cardiovascular disease. Ecklonia in particular has been shown to decrease cholesterol.,A review suggests there is evidence that diet supplementation with whole macroalgae or products of macroalgae origin can ameliorate several mechanisms underlying the onset and propagation of CVDs. One study of ecklonia cava in particular (80 subjects) concluded that ECE supplementation improved blood lipid profiles through decreasing total cholesterol and LDL-cholesterol levels which are known as major cardiovascular risk factors. More studies are needed to establish the long-term safety and effectiveness.,Marine Drugs,https://www.mdpi.com/1660-3397/13/11/6838/htm,,https://www.mdpi.com/1660-3397/13/11/6838/htm,,61
eggshell membrane,,5,"joints, arthritis",general health,other,,"148,000",eggshell membrane arthritis,Egg shell membrane eases joints by increasing cell production and decreasing inflammation. 500mg a day gives rapid results. ,,Cochrane,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/993/CN-00718993/frame.html,,,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/993/CN-00718993/frame.html,62
elderberry,,1,flu,infections,plant / herb,OTW,"1,740,000",elderberry flu,Eelderberry extract Sambucol may be useful for the treatment of viral influenza infections. More rigorous studies needed.,,Phytotherapy Research,http://www.actahort.org/books/1061/1061_12.htm,,http://www.ncbi.nlm.nih.gov/pubmed/19548290,http://www.actahort.org/books/1061/1061_12.htm,63
elk velvet antler,,1,rheumatoid arthritis,musculoskeletal,animal product,,"45,300",elk velvet antler arthritis,No good quality evidence for elk velvet antler as a treatment for arthritis.,Claims made for velvet antler supplements do not appear to be based upon rigorous research from human trials.,The New Zealand Medical Journal,http://majsivi.wdfiles.com/local--files/2012:1214/Gilbey2012.pdf,,http://majsivi.wdfiles.com/local--files/2012:1214/Gilbey2012.pdf,,64
evening primrose oil,,1,PMS,"reproductive, women",plant / herb,,"692,000",evening primrose oil PMS,Evening primrose oil is no more effective than placebo. ,,Journal of Psychosomatic Obstetrics and Gynecology,http://www.tandfonline.com/doi/abs/10.3109/0167482X.2010.538102#.Vcnzd5NVhBc,,http://www.tandfonline.com/doi/abs/10.3109/0167482X.2010.538102#.Vcnzd5NVhBc,,65
evening primrose oil,,1,eczema,eye & skin,plant / herb,,"1,420,000",evening primrose oil eczema,A review of 27 studies found no evidence of efficacy.,,Cochrane,https://www.cochrane.org/CD004416/SKIN_oral-evening-primrose-oil-and-borage-oil-eczema,,,,
feverfew,,5,migraine,pain,plant / herb,,"8,970,000",fish oil omega 3 low sperm count,Feverfew reduces migraine frequency by just over half a migraine a month. ,,Cochrane,http://www.cochrane.org/CD002286/SYMPT_feverfew-for-preventing-migraine,http://www.cochrane.org/CD002286/SYMPT_feverfew-for-preventing-migraine,,,66
fish oil / omega 3,,2,cystic fibrosis,general health,compound,,"9,790,000",fish oil omega 3 cystic fibrosis,Evidence is poor.,,Cochrane,https://www.cochrane.org/CD002201/CF_use-omega-3-supplements-people-cystic-fibrosis,http://www.cochrane.org/CD002201/CF_use-omega-3-supplements-people-cystic-fibrosis,,,67
fish oil / omega 3,,1,"Alzheimer's, dementia",mental health,compound,,"2,650,000",fish oil omega 3 Alzheimer's,"In the largest and longest study of its kind, researchers found that fish oil/omega 3 had no statistically significant impact on cognitive decline.",,The Journal of the American Medical Association,http://jama.jamanetwork.com/article.aspx?articleid=2429713,,,http://jama.jamanetwork.com/article.aspx?articleid=2429713,68
fish oil / omega 3,,1,asthma,respiratory,compound,,"3,950,000",fish oil omega 3 asthma,Review of trials found that people with asthma changing their diets to include more fish oil DID NOT improve their asthma.,,Cochrane,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD001283/abstract,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD001283/abstract,,http://erj.ersjournals.com/content/16/5/861.short,69
fish oil / omega 3,,2,cancer symptoms,cancer,compound,,"159,000,000",fish oil omega 3 cancer symptoms,Fish oil can counter chemotherapy-related damage to white blood cells. ,,Lipids,http://link.springer.com/article/10.1007/s11745-011-3643-0#page-2,,,http://link.springer.com/article/10.1007/s11745-011-3643-0#page-2,70
fish oil / omega 3,,2,child intelligence,"mental health, children",compound,,"31,900,000",fish oil omega 3 child intelligence,Fish oil supplementation has a very minor positive impact on some measures of learning and performance.,,PubMed,http://www.ncbi.nlm.nih.gov/pubmed/20171055,,,http://www.ncbi.nlm.nih.gov/pubmed/20171055,71
fish oil / omega 3,,3,colorectal cancer,cancer,compound,,"47,600,000",fish oil omega 3 colorectal cancer,It is thought that omega 3 reduces the risk of colorectal cancer and is effective in its treatment. ,,PubMed,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7373878/,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7373878/,http://gut.bmj.com/content/early/2011/04/13/gut.2010.233718.full.pdf+html?hwshib2=authn%3A1439389225%3A20150811%253Aa4d0ff88-5170-49d2-91d9-7d94a4d81dd6%3A0%3A0%3A0%3Aa7F3BE99QRz8a3GQ7Dlevw%3D%3D,72
fish oil / omega 3,,1,Crohn's disease,digestion,compound,,"31,800,000",fish oil omega 3 Crohn's disease,No beneficial effect for those with Crohn's Disease.,,Cochrane,http://www.cochrane.org/reviews/en/ab006320.html,http://www.cochrane.org/reviews/en/ab006320.html,,,73
